CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2013,2,EBOOK,12,In Defense of Food: An Eater's Manifesto
2013,3,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,3,BOOK,12,In defense of food : an eater's manifesto / Michael Pollan.
2013,3,EBOOK,7,In Defense of Food: An Eater's Manifesto
2013,3,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,4,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,4,EBOOK,12,In Defense of Food: An Eater's Manifesto
2013,4,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,4,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2013,5,BOOK,14,In defense of food : an eater's manifesto / Michael Pollan.
2013,5,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,5,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,5,EBOOK,9,In Defense of Food: An Eater's Manifesto
2013,6,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2013,6,EBOOK,9,In Defense of Food: An Eater's Manifesto
2013,6,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,6,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,7,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,7,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,7,EBOOK,13,In Defense of Food: An Eater's Manifesto
2013,7,BOOK,10,In defense of food : an eater's manifesto / Michael Pollan.
2013,8,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,8,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,8,BOOK,10,In defense of food : an eater's manifesto / Michael Pollan.
2013,8,EBOOK,11,In Defense of Food: An Eater's Manifesto
2013,9,EBOOK,10,In Defense of Food: An Eater's Manifesto
2013,9,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,9,BOOK,14,In defense of food : an eater's manifesto / Michael Pollan.
2013,9,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,10,EBOOK,11,In Defense of Food: An Eater's Manifesto
2013,10,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,10,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2013,10,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,11,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,11,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2013,11,EBOOK,15,In Defense of Food: An Eater's Manifesto
2013,11,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2013,12,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2013,12,EBOOK,11,In Defense of Food: An Eater's Manifesto
2013,12,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2013,12,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,1,BOOK,8,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,1,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,1,EBOOK,10,In Defense of Food: An Eater's Manifesto
2014,1,BOOK,10,In defense of food : an eater's manifesto / Michael Pollan.
2014,2,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,2,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,2,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2014,2,EBOOK,9,In Defense of Food: An Eater's Manifesto
2014,3,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2014,3,EBOOK,11,In Defense of Food: An Eater's Manifesto
2014,3,BOOK,9,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,3,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,4,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,4,AUDIOBOOK,11,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,4,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2014,4,EBOOK,9,In Defense of Food: An Eater's Manifesto
2014,5,BOOK,10,In defense of food : an eater's manifesto / Michael Pollan.
2014,5,EBOOK,9,In Defense of Food: An Eater's Manifesto
2014,5,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,5,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,6,BOOK,8,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,6,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,6,BOOK,8,In defense of food : an eater's manifesto / Michael Pollan.
2014,6,EBOOK,12,In Defense of Food: An Eater's Manifesto
2014,7,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,7,EBOOK,9,In Defense of Food: An Eater's Manifesto
2014,7,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,7,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2014,8,EBOOK,10,In Defense of Food: An Eater's Manifesto
2014,8,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,8,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,8,BOOK,8,In defense of food : an eater's manifesto / Michael Pollan.
2014,9,BOOK,7,In defense of food : an eater's manifesto / Michael Pollan.
2014,9,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,9,EBOOK,13,In Defense of Food: An Eater's Manifesto
2014,9,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,10,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2014,10,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,10,EBOOK,6,In Defense of Food: An Eater's Manifesto
2014,10,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,11,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2014,11,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,11,EBOOK,12,In Defense of Food: An Eater's Manifesto
2014,12,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,12,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2014,12,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,12,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,1,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2015,1,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,1,EBOOK,15,In Defense of Food: An Eater's Manifesto
2015,1,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,2,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,2,BOOK,4,In defense of food : an eater's manifesto / Michael Pollan.
2015,2,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,2,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,3,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,3,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2015,3,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,3,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,4,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
