CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2013,2,EBOOK,1,The Hunger Games A-Z
2013,2,BOOK,2,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins."
2013,2,EBOOK,2,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay"
2013,3,AUDIOBOOK,63,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)"
2013,3,BOOK,4,The world of the Hunger Games / by Kate Egan.
2013,3,AUDIOBOOK,76,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)"
2013,3,EBOOK,3,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay"
2013,3,BOOK,17,The Hunger Games [text (large print)] / Suzanne Collins.
2013,3,BOOK,1,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.
2013,3,EBOOK,7,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy
2013,3,BOOK,35,The hunger games / Suzanne Collins.
2013,3,BOOK,7,The hunger games : the official illustrated movie companion / by Kate Egan.
2013,3,BOOK,25,The hunger games / Suzanne Collins.
2013,3,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines."
2013,3,BOOK,3,"Ji e you xi. 3, Chao xiao niao / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games : Mockingjay / Suzanne Collins."
2013,3,BOOK,3,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins."
2013,3,AUDIOBOOK,71,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)"
2013,3,BOOK,3,The Hunger Games tribute guide / by Emily Seife.
2013,3,EBOOK,3,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""äóîMore Than 150 Recipes Inspired by the Hunger Games Trilogy"
2013,3,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim."
2013,4,EBOOK,1,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""äóîMore Than 150 Recipes Inspired by the Hunger Games Trilogy"
2013,4,BOOK,35,The hunger games / Suzanne Collins.
2013,4,EBOOK,5,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy
2013,4,BOOK,48,The hunger games / Suzanne Collins.
2013,4,BOOK,1,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.
2013,4,AUDIOBOOK,79,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)"
2013,4,BOOK,3,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins."
2013,4,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines."
2013,4,BOOK,19,The Hunger Games [text (large print)] / Suzanne Collins.
2013,4,AUDIOBOOK,75,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)"
2013,4,BOOK,3,The Hunger Games tribute guide / by Emily Seife.
