CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title,date_full
2013,3,BOOK,25,Name of the wind / Patrick Rothfuss.,01/03/13
2013,3,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/03/13
2013,3,EBOOK,10,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/13
2013,4,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/04/13
2013,4,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/13
2013,4,BOOK,27,Name of the wind / Patrick Rothfuss.,01/04/13
2013,5,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/05/13
2013,5,BOOK,21,Name of the wind / Patrick Rothfuss.,01/05/13
2013,5,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/13
2013,6,BOOK,28,Name of the wind / Patrick Rothfuss.,01/06/13
2013,6,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/06/13
2013,6,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/13
2013,7,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/07/13
2013,7,BOOK,28,Name of the wind / Patrick Rothfuss.,01/07/13
2013,7,EBOOK,10,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/13
2013,8,BOOK,27,Name of the wind / Patrick Rothfuss.,01/08/13
2013,8,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/08/13
2013,8,EBOOK,12,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/13
2013,9,BOOK,23,Name of the wind / Patrick Rothfuss.,01/09/13
2013,9,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/09/13
2013,9,EBOOK,8,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/13
2013,10,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/10/13
2013,10,EBOOK,15,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/13
2013,10,BOOK,25,Name of the wind / Patrick Rothfuss.,01/10/13
2013,11,BOOK,21,Name of the wind / Patrick Rothfuss.,01/11/13
2013,11,EBOOK,16,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/13
2013,11,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/11/13
2013,12,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/12/13
2013,12,BOOK,22,Name of the wind / Patrick Rothfuss.,01/12/13
2013,12,EBOOK,17,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/13
2014,1,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/01/14
2014,1,EBOOK,21,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/14
2014,1,BOOK,25,Name of the wind / Patrick Rothfuss.,01/01/14
2014,2,BOOK,23,Name of the wind / Patrick Rothfuss.,01/02/14
2014,2,EBOOK,18,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/14
2014,2,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/02/14
2014,3,EBOOK,21,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/14
2014,3,AUDIOBOOK,1,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/03/14
2014,3,BOOK,22,Name of the wind / Patrick Rothfuss.,01/03/14
2014,4,EBOOK,20,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/14
2014,4,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/04/14
2014,4,BOOK,25,Name of the wind / Patrick Rothfuss.,01/04/14
2014,5,BOOK,24,Name of the wind / Patrick Rothfuss.,01/05/14
2014,5,EBOOK,23,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/14
2014,5,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/05/14
2014,6,BOOK,23,Name of the wind / Patrick Rothfuss.,01/06/14
2014,6,EBOOK,19,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/14
2014,6,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/06/14
2014,7,BOOK,25,Name of the wind / Patrick Rothfuss.,01/07/14
2014,7,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/07/14
2014,7,EBOOK,21,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/14
2014,8,EBOOK,22,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/14
2014,8,BOOK,23,Name of the wind / Patrick Rothfuss.,01/08/14
2014,8,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/08/14
2014,9,BOOK,21,Name of the wind / Patrick Rothfuss.,01/09/14
2014,9,EBOOK,20,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/14
2014,10,BOOK,21,Name of the wind / Patrick Rothfuss.,01/10/14
2014,10,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/10/14
2014,10,EBOOK,24,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/14
2014,11,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/11/14
2014,11,BOOK,22,Name of the wind / Patrick Rothfuss.,01/11/14
2014,11,EBOOK,18,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/14
2014,12,AUDIOBOOK,6,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/12/14
2014,12,BOOK,17,Name of the wind / Patrick Rothfuss.,01/12/14
2014,12,EBOOK,24,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/14
2015,1,EBOOK,30,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/15
2015,1,BOOK,21,Name of the wind / Patrick Rothfuss.,01/01/15
2015,1,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/01/15
2015,2,BOOK,21,Name of the wind / Patrick Rothfuss.,01/02/15
2015,2,EBOOK,25,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/15
2015,2,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/02/15
2015,3,EBOOK,27,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/15
2015,3,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/03/15
2015,3,BOOK,21,Name of the wind / Patrick Rothfuss.,01/03/15
2015,4,EBOOK,21,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/15
2015,4,BOOK,21,Name of the wind / Patrick Rothfuss.,01/04/15
2015,4,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/04/15
2015,5,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/15
2015,5,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/05/15
2015,5,BOOK,19,Name of the wind / Patrick Rothfuss.,01/05/15
2015,6,EBOOK,25,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/15
2015,6,BOOK,20,Name of the wind / Patrick Rothfuss.,01/06/15
2015,7,EBOOK,33,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/15
2015,7,BOOK,18,Name of the wind / Patrick Rothfuss.,01/07/15
2015,8,BOOK,19,Name of the wind / Patrick Rothfuss.,01/08/15
2015,8,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/15
2015,9,EBOOK,27,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/15
2015,9,BOOK,23,Name of the wind / Patrick Rothfuss.,01/09/15
2015,10,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/15
2015,10,BOOK,18,Name of the wind / Patrick Rothfuss.,01/10/15
2015,11,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/15
2015,11,BOOK,22,Name of the wind / Patrick Rothfuss.,01/11/15
2015,12,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/15
2015,12,BOOK,19,Name of the wind / Patrick Rothfuss.,01/12/15
2016,1,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/16
2016,1,BOOK,15,Name of the wind / Patrick Rothfuss.,01/01/16
2016,2,BOOK,12,Name of the wind / Patrick Rothfuss.,01/02/16
2016,2,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/16
2016,3,BOOK,23,Name of the wind / Patrick Rothfuss.,01/03/16
2016,3,EBOOK,30,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/16
2016,4,BOOK,15,Name of the wind / Patrick Rothfuss.,01/04/16
2016,4,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/16
2016,5,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/16
2016,5,BOOK,14,Name of the wind / Patrick Rothfuss.,01/05/16
2016,6,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/16
2016,6,BOOK,9,Name of the wind / Patrick Rothfuss.,01/06/16
2016,7,BOOK,15,Name of the wind / Patrick Rothfuss.,01/07/16
2016,7,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/16
2016,8,EBOOK,35,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/16
2016,8,BOOK,11,Name of the wind / Patrick Rothfuss.,01/08/16
2016,9,BOOK,16,Name of the wind / Patrick Rothfuss.,01/09/16
2016,9,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/16
2016,10,BOOK,14,Name of the wind / Patrick Rothfuss.,01/10/16
2016,10,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/16
2016,11,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/16
2016,11,BOOK,22,Name of the wind / Patrick Rothfuss.,01/11/16
2016,12,BOOK,28,Name of the wind / Patrick Rothfuss.,01/12/16
2016,12,EBOOK,46,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/16
2017,1,BOOK,30,Name of the wind / Patrick Rothfuss.,01/01/17
2017,1,EBOOK,40,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/17
2017,2,BOOK,22,Name of the wind / Patrick Rothfuss.,01/02/17
2017,2,EBOOK,43,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/17
2017,3,BOOK,20,Name of the wind / Patrick Rothfuss.,01/03/17
2017,3,EBOOK,50,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/17
2007,4,BOOK,8,Name of the wind / Patrick Rothfuss.,01/04/07
2007,5,BOOK,10,Name of the wind / Patrick Rothfuss.,01/05/07
2007,6,BOOK,13,Name of the wind / Patrick Rothfuss.,01/06/07
2007,7,BOOK,6,Name of the wind / Patrick Rothfuss.,01/07/07
2007,8,BOOK,12,Name of the wind / Patrick Rothfuss.,01/08/07
2007,9,BOOK,16,Name of the wind / Patrick Rothfuss.,01/09/07
2007,10,BOOK,19,Name of the wind / Patrick Rothfuss.,01/10/07
2007,11,BOOK,18,Name of the wind / Patrick Rothfuss.,01/11/07
2007,12,BOOK,19,Name of the wind / Patrick Rothfuss.,01/12/07
2008,1,BOOK,21,Name of the wind / Patrick Rothfuss.,01/01/08
2008,2,BOOK,15,Name of the wind / Patrick Rothfuss.,01/02/08
2008,3,BOOK,15,Name of the wind / Patrick Rothfuss.,01/03/08
2008,4,BOOK,16,Name of the wind / Patrick Rothfuss.,01/04/08
2008,5,BOOK,13,Name of the wind / Patrick Rothfuss.,01/05/08
2008,6,BOOK,22,Name of the wind / Patrick Rothfuss.,01/06/08
2008,7,BOOK,21,Name of the wind / Patrick Rothfuss.,01/07/08
2008,8,BOOK,16,Name of the wind / Patrick Rothfuss.,01/08/08
