"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"1",2013,2,"BOOK",3,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2013,2013-02-01
"2",2013,3,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2013,2013-03-01
"3",2013,3,"BOOK",8,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Mar 2013,2013-03-01
"4",2013,4,"BOOK",5,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Apr 2013,2013-04-01
"5",2013,4,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2013,2013-04-01
"6",2013,5,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",May 2013,2013-05-01
"7",2013,5,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2013,2013-05-01
"8",2013,6,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2013,2013-06-01
"9",2013,6,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Jun 2013,2013-06-01
"10",2013,6,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jun 2013,2013-06-01
"11",2013,7,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2013,2013-07-01
"12",2013,7,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2013,2013-07-01
"13",2013,8,"BOOK",18,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2013,2013-08-01
"14",2013,8,"BOOK",8,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2013,2013-08-01
"15",2013,9,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2013,2013-09-01
"16",2013,9,"BOOK",24,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2013,2013-09-01
"17",2013,10,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2013,2013-10-01
"18",2013,10,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Oct 2013,2013-10-01
"19",2013,10,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2013,2013-10-01
"20",2013,11,"BOOK",6,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Nov 2013,2013-11-01
"21",2013,11,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2013,2013-11-01
"22",2013,12,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2013,2013-12-01
"23",2013,12,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Dec 2013,2013-12-01
"24",2013,12,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2013,2013-12-01
"25",2014,1,"BOOK",26,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2014,2014-01-01
"26",2014,1,"BOOK",5,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jan 2014,2014-01-01
