CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2013,2,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,2,BOOK,1,Black characters and references of the Holy Bible / F.S. Rhoades.
2013,2,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2013,3,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majestys special command authorized King James version
2013,3,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,3,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,4,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2013,4,BOOK,4,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,4,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2013,4,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2013,4,AUDIOBOOK,1,Complete Audio Holy Bible (Unabridged)
2013,4,BOOK,1,Young's literal translation of the Holy Bible / by Robert Young.
2013,4,BOOK,1,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2013,5,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,5,BOOK,1,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2013,5,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,5,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,5,EBOOK,3,"The Holy Bible: Old and New Testaments, King James Version"
2013,5,BOOK,1,The New World idea index to the Holy Bible. Edited by Harvey K. Griffith.
2013,6,BOOK,2,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,6,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,6,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2013,6,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2013,6,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,6,BOOK,1,The Holy Bible.
2013,7,BOOK,3,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,7,BOOK,2,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,7,BOOK,2,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2013,7,EBOOK,3,"The Holy Bible: Old and New Testaments, King James Version"
2013,7,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,7,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2013,8,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2013,8,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,8,BOOK,2,The Holy Bible.
2013,8,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,9,BOOK,2,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,9,BOOK,1,The Holy Bible.
2013,9,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2013,9,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2013,9,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,9,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2013,9,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,10,BOOK,1,The Holy Bible.
2013,10,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2013,10,BOOK,2,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,10,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,10,EBOOK,2,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2013,10,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2013,11,BOOK,1,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2013,11,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2013,11,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2013,11,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2013,11,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2013,11,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2013,12,BOOK,1,Jesus : his life in verses from the King James Holy Bible / art by Gennady Spirin.
2013,12,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2013,12,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2013,12,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2013,12,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majestys special command authorized King James version
2014,1,BOOK,1,Jesus : his life in verses from the King James Holy Bible / art by Gennady Spirin.
2014,1,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2014,1,BOOK,1,"The Holy Bible, containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared & revised : King James version."
2014,1,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2014,2,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,2,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,2,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2014,2,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2014,2,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,3,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2014,3,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2014,3,BOOK,3,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,3,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2014,3,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2014,3,BOOK,3,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,4,BOOK,1,The Holy Bible.
2014,4,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2014,4,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,4,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2014,5,AUDIOBOOK,1,Complete Audio Holy Bible (Unabridged)
2014,5,BOOK,1,The Holy Bible.
2014,5,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majestys special command authorized King James version
2014,5,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,5,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2014,5,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2014,6,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2014,6,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,6,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2014,7,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,7,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,7,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2014,8,EBOOK,3,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
