CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2013,2,BOOK,35,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,2,EBOOK,2,"Harry Potter y la Orden del FÃ©nix: Harry Potter Serie, Libro 5"
2013,2,BOOK,1,"Storybook travels : from Eloise's New York to Harry Potter's London, visits to 30 of the best-loved landmarks in children's literature / Colleen Dunn Bates and Susan LaTempa."
2013,2,EBOOK,10,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3"
2013,2,BOOK,2,complete idiots guide to the world of Harry Potter
2013,2,EBOOK,13,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1"
2013,2,BOOK,32,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.
2013,2,BOOK,1,Charmed knits projects for fans of Harry Potter
2013,2,BOOK,1,Harry Potter and the half-blood prince [text (large print)] / J.K. Rowling ; illustrations by Mary GrandPre.
2013,3,BOOK,1,Charmed knits projects for fans of Harry Potter
2013,3,EBOOK,10,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4"
2013,3,BOOK,1,Kids letters to Harry Potter from around the world an unauthorized collection
2013,3,BOOK,2,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,3,EBOOK,1,The Unofficial Guide to Harry Potter: Facts and Trivia Every Fan Should Know!
2013,3,BOOK,1,sorcerers companion a guide to the magical world of Harry Potter
2013,3,BOOK,1,Harry Potter Narnia and The lord of the rings
2013,3,BOOK,1,"HarÄ« pottÄÅ to shi no hihÅç : Shita, = Harry Potter and the deathly hallows / Rowling J.K., saku ; Matsuoka YÅ«ko, yaku."
2013,3,BOOK,30,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,3,BOOK,1,Harry Potter's bookshelf : the great books behind the Hogwarts adventures / John Granger.
2013,3,EBOOK,19,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1"
2013,3,AUDIOBOOK,15,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7 (unabridged) (Unabridged)"
2013,3,EBOOK,3,The Complete Idiot's Guide to the World of Harry Potter
2013,3,AUDIOBOOK,22,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1 (unabridged) (Unabridged)"
2013,3,AUDIOBOOK,7,"Harry Potter and the Order of the Phoenix: Harry Potter Series, Book 5 (unabridged) (Unabridged)"
2013,3,EBOOK,1,Charmed Knits: Projects for Fans of Harry Potter
2013,3,BOOK,32,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary GrandprÃ©.
2013,3,BOOK,3,"The Lexicon : an unauthorized guide to Harry Potter fiction and related material / Steve Vander Ark, with John Kearns, Lisa Waite Bunker, Belinda Hobbs."
2013,3,BOOK,30,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.
2013,3,BOOK,1,"Storybook travels : from Eloise's New York to Harry Potter's London, visits to 30 of the best-loved landmarks in children's literature / Colleen Dunn Bates and Susan LaTempa."
2013,3,BOOK,1,Hari Potta to Azukaban no shujin Harry Potter and the prisoner of Azkaban
2013,3,BOOK,13,Harry Potter : building the magical world / written by Elizabeth Dowsett.
2013,3,EBOOK,2,"Harry Potter y la Orden del FÃ©nix: Harry Potter Serie, Libro 5"
2013,3,BOOK,1,"Harry Potter y el cÃ¡liz de fuego / J.K. Rowling ; [traducciÃ_n, Adolfo MuÃ±oz GarcÃ_a y Nieves MartÃ_n Azofra]."
2013,3,BOOK,4,The unofficial Harry Potter cookbook : from cauldron cakes to knickerbocker glory-- more than 150 magical recipes for wizards and non-wizards alike / Dinah Bucholz.
2013,3,BOOK,1,Harry Potter y la camara secreta
2013,3,EBOOK,2,"Harry Potter y la cÃ¡mara secreta: Harry Potter Serie, Libro 2"
2013,3,BOOK,2,Field guide to Harry Potter
2013,3,BOOK,1,"Children's literature : a reader's history, from Aesop to Harry Potter / Seth Lerer."
2013,3,EBOOK,1,"Harry Potter y el prisionero de Azkaban: Harry Potter Serie, Libro 3"
2013,3,AUDIOBOOK,7,"Harry Potter and the Half-Blood Prince: Harry Potter Series, Book 6 (unabridged) (Unabridged)"
2013,3,BOOK,1,Haeri PÊ»otÊ»Åè wa mabÅèpsa Å_i tol = Harry Potter and the philosopher's stone / Joaen K. Rolling chiÅ_m ; Kim Hye-wÅèn omgim.
2013,3,BOOK,43,Harry Potter and the sorcerer's stone / by J. K. Rowling ; illustrations by Mary Grandpre.
2013,3,BOOK,1,"Mapping the world of the sorcerer's apprentice : an unauthorized exploration of the Harry Potter series complete through book six / edited by Mercedes Lackey, with Leah Wilson."
2013,3,BOOK,32,Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary GrandprÃ©.
2013,3,EBOOK,12,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3"
2013,3,BOOK,1,Harry Potter et la chambre des secrets
2013,3,BOOK,27,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,3,BOOK,1,The plot thickens-- : Harry Potter investigated by fans for fans / edited by Galadriel Waters ; cover art by Melissa Rogers ; illustrations by Michelle Heran ... (et al.)
2013,3,AUDIOBOOK,13,"Harry Potter and the Chamber of Secrets: Harry Potter Series, Book 2 (unabridged) (Unabridged)"
2013,3,BOOK,1,Harry Potter and the half-blood prince [text (large print)] / J.K. Rowling ; illustrations by Mary GrandPre.
2013,3,AUDIOBOOK,9,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3 (unabridged) (Unabridged)"
2013,3,AUDIOBOOK,10,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4 (unabridged) (Unabridged)"
2013,3,BOOK,2,Harry Potter and the sorcerer's stone [text (large print)] / J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,3,EBOOK,11,"Harry Potter and the Half-Blood Prince: Harry Potter Series, Book 6"
2013,3,BOOK,3,"Harry Potter magic eye book : 3D magical creatures, beasts and beings."
2013,3,BOOK,1,complete idiots guide to the world of Harry Potter
2013,3,EBOOK,1,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Gloryâ€”More Than 150 Magical Recipes for Muggles and Wizards
2013,3,BOOK,1,The science of Harry Potter : how magic really works / Roger Highfield.
2013,3,EBOOK,13,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7"
2013,3,EBOOK,10,"Harry Potter and the Chamber of Secrets: Harry Potter Series, Book 2"
2013,3,BOOK,2,Hari Potta to fujicho no kishidan = Harry Potter and the Order of the Phoenix / J.K. Rowling cho ; Matsuoka YÅ«ko yaku.
2013,3,EBOOK,12,"Harry Potter and the Order of the Phoenix: Harry Potter Series, Book 5"
2013,3,BOOK,2,Harry Potter and the chamber of secrets
2013,3,BOOK,38,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,3,BOOK,2,HarÄ« PottÄÅ to nazo no purinsu = Harry Potter and the half-blood prince / J.K. RÅçringu saku ; Matsuoka YÅ«ko yaku.
2013,3,BOOK,4,"Harry Potter : page to screen, the complete filmmaking journey / [Bob McCabe]."
2013,3,BOOK,1,"HarÄ« pottÄÅ to shi no hihÅç. Ue, = Harry Potter and the deathly hallows / Rowling J.K., saku ; Matsuoka YÅ«ko, yaku."
2013,4,AUDIOBOOK,11,"Harry Potter and the Order of the Phoenix: Harry Potter Series, Book 5 (unabridged) (Unabridged)"
2013,4,EBOOK,2,The Unofficial Guide to Harry Potter: Facts and Trivia Every Fan Should Know!
2013,4,BOOK,2,So you think you know Harry Potter
2013,4,EBOOK,7,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7"
2013,4,BOOK,32,Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary GrandprÃ©.
2013,4,BOOK,35,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,4,AUDIOBOOK,9,"Harry Potter and the Half-Blood Prince: Harry Potter Series, Book 6 (unabridged) (Unabridged)"
2013,4,EBOOK,2,"Harry Potter y el misterio del prÃ_ncipe: Harry Potter Serie, Libro 6"
2013,4,EBOOK,1,"Harry Potter y la Orden del FÃ©nix: Harry Potter Serie, Libro 5"
2013,4,EBOOK,1,"Harry Potter y la cÃ¡mara secreta: Harry Potter Serie, Libro 2"
2013,4,BOOK,1,Kids letters to Harry Potter from around the world an unauthorized collection
2013,4,BOOK,2,Mugglenet coms What will happen in Harry Potter 7 who lives who dies who falls in love and how will the adventure finally end
2013,4,EBOOK,1,"Harry Potter y las RelÃ_quias de la Muerte: Harry Potter Serie, Libro 7"
2013,4,EBOOK,10,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4"
2013,4,BOOK,1,"Harry Potter y la piedra filosofal / J.K. Rowling ; [traducciÃ_n, Alicia Dellepiane]."
2013,4,BOOK,1,"Harry, a history : the true story of a boy wizard, his fans, and life inside the Harry Potter phenomenon / Melissa Anelli."
2013,4,BOOK,1,HarÄ« PottÄÅ to nazo no purinsu = Harry Potter and the half-blood prince / J.K. RÅçringu saku ; Matsuoka YÅ«ko yaku.
2013,4,BOOK,5,"Harry Potter : page to screen, the complete filmmaking journey / [Bob McCabe]."
2013,4,BOOK,1,Haeri PÊ»otÊ»Åè wa mabÅèpsa Å_i tol = Harry Potter and the philosopher's stone / Joaen K. Rolling chiÅ_m ; Kim Hye-wÅèn omgim.
2013,4,BOOK,1,"God, the devil, and Harry Potter : a Christian minister's defense of the beloved novels / John Killinger."
2013,4,BOOK,26,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary GrandprÃ©.
2013,4,EBOOK,4,"Harry Potter y la piedra filosofal: Harry Potter Serie, Libro 1"
2013,4,BOOK,1,Harry Potter's bookshelf : the great books behind the Hogwarts adventures / John Granger.
2013,4,EBOOK,4,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Gloryâ€”More Than 150 Magical Recipes for Muggles and Wizards
2013,4,BOOK,1,J K Rowling the wizard behind Harry Potter
2013,4,AUDIOBOOK,10,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4 (unabridged) (Unabridged)"
2013,4,BOOK,1,Exploring Harry Potter
2013,4,BOOK,1,One fine potion : the literary magic of Harry Potter / Greg Garrett.
2013,4,EBOOK,13,"Harry Potter and the Chamber of Secrets: Harry Potter Series, Book 2"
2013,4,BOOK,8,The unofficial Harry Potter cookbook : from cauldron cakes to knickerbocker glory-- more than 150 magical recipes for wizards and non-wizards alike / Dinah Bucholz.
2013,4,BOOK,2,Haeri PÊ»otÊ»Åè wa pimil Å_i pang = Harry Potter and the chamber of secrets / Joaen K. Rolling chiÅ_m ; Kim Hye-wÅèn omgim.
2013,4,BOOK,42,Harry Potter and the sorcerer's stone / by J. K. Rowling ; illustrations by Mary Grandpre.
2013,4,BOOK,2,Harry Potter and the half-blood prince [text (large print)] / J.K. Rowling ; illustrations by Mary GrandPre.
2013,4,BOOK,33,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.
2013,4,EBOOK,7,"Harry Potter and the Half-Blood Prince: Harry Potter Series, Book 6"
2013,4,BOOK,1,complete idiots guide to the world of Harry Potter
2013,4,AUDIOBOOK,2,"Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon (unabridged) (Unabridged)"
2013,4,AUDIOBOOK,13,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3 (unabridged) (Unabridged)"
2013,4,EBOOK,2,The Complete Idiot's Guide to the World of Harry Potter
2013,4,AUDIOBOOK,29,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1 (unabridged) (Unabridged)"
2013,4,BOOK,10,Harry Potter : building the magical world / written by Elizabeth Dowsett.
2013,4,BOOK,24,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,4,EBOOK,5,"Harry Potter y el prisionero de Azkaban: Harry Potter Serie, Libro 3"
2013,4,EBOOK,9,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3"
2013,4,BOOK,1,From Homer to Harry Potter a handbook on myth and fantasy
2013,4,AUDIOBOOK,17,"Harry Potter and the Chamber of Secrets: Harry Potter Series, Book 2 (unabridged) (Unabridged)"
2013,4,BOOK,1,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,4,BOOK,1,Harry Potter et la chambre des secrets
2013,4,BOOK,3,"Harry Potter magic eye book : 3D magical creatures, beasts and beings."
2013,4,BOOK,1,"HarÄ« PottÄÅ to himitsu no heya = Harry Potter and the Harry Potter Chamber of Secrets / J.K. RÅçringu, saku ; Matsuoka YÅ«ko, yaku."
2013,4,BOOK,28,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,4,EBOOK,11,"Harry Potter and the Order of the Phoenix: Harry Potter Series, Book 5"
2013,4,AUDIOBOOK,14,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7 (unabridged) (Unabridged)"
2013,4,BOOK,2,Field guide to Harry Potter
2013,4,BOOK,1,Hari Potta to kenja no ishi Harry Potter and the philosophers stone
2013,4,EBOOK,14,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1"
2013,4,BOOK,1,"Harry Potter y el cÃ¡liz de fuego / J.K. Rowling ; [traducciÃ_n, Adolfo MuÃ±oz GarcÃ_a y Nieves MartÃ_n Azofra]."
2013,4,BOOK,1,The irresistible rise of Harry Potter / Andrew Blake.
2013,5,EBOOK,15,"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1"
2013,5,BOOK,1,Harry Potter's bookshelf : the great books behind the Hogwarts adventures / John Granger.
2013,5,BOOK,45,Harry Potter and the sorcerer's stone / by J. K. Rowling ; illustrations by Mary Grandpre.
2013,5,EBOOK,2,"Harry Potter y el prisionero de Azkaban: Harry Potter Serie, Libro 3"
2013,5,AUDIOBOOK,12,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7 (unabridged) (Unabridged)"
2013,5,AUDIOBOOK,7,"Harry Potter and the Order of the Phoenix: Harry Potter Series, Book 5 (unabridged) (Unabridged)"
2013,5,AUDIOBOOK,12,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4 (unabridged) (Unabridged)"
2013,5,BOOK,4,"Harry Potter y el cÃ¡liz de fuego / J.K. Rowling ; [traducciÃ_n, Adolfo MuÃ±oz GarcÃ_a y Nieves MartÃ_n Azofra]."
2013,5,BOOK,1,The plot thickens-- : Harry Potter investigated by fans for fans / edited by Galadriel Waters ; cover art by Melissa Rogers ; illustrations by Michelle Heran ... (et al.)
2013,5,BOOK,1,Wizards : the quest for the wizard from Merlin to Harry Potter / John Matthews.
2013,5,BOOK,2,"Harry Potter magic eye book : 3D magical creatures, beasts and beings."
2013,5,BOOK,36,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,5,BOOK,3,Harry Potter et la chambre des secrets
2013,5,BOOK,1,One fine potion : the literary magic of Harry Potter / Greg Garrett.
2013,5,BOOK,2,Harry Potter y el prisionero de Azkaban
2013,5,BOOK,32,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,5,BOOK,1,Hari Potta to kenja no ishi Harry Potter and the philosophers stone
2013,5,EBOOK,10,"Harry Potter and the Chamber of Secrets: Harry Potter Series, Book 2"
