Month,SearchVol
2008-01,28
2008-02,45
2008-03,83
2008-04,57
2008-05,41
2008-06,29
2008-07,29
2008-08,0
2008-09,56
2008-10,25
2008-11,0
2008-12,0
2009-01,77
2009-02,56
2009-03,100
2009-04,26
2009-05,26
2009-06,27
2009-07,0
2009-08,54
2009-09,95
2009-10,50
2009-11,50
2009-12,25
2010-01,23
2010-02,50
2010-03,35
2010-04,59
2010-05,24
2010-06,25
2010-07,0
2010-08,22
2010-09,22
2010-10,21
2010-11,0
2010-12,40
2011-01,13
2011-02,14
2011-03,13
2011-04,38
2011-05,36
2011-06,12
2011-07,26
2011-08,13
2011-09,13
2011-10,24
2011-11,28
2011-12,0
2012-01,9
2012-02,10
2012-03,18
2012-04,19
2012-05,9
2012-06,10
2012-07,10
2012-08,9
2012-09,0
2012-10,9
2012-11,9
2012-12,9
2013-01,13
2013-02,27
2013-03,34
2013-04,26
2013-05,8
2013-06,13
2013-07,8
2013-08,0
2013-09,33
2013-10,12
2013-11,17
2013-12,0
2014-01,28
2014-02,13
2014-03,8
2014-04,9
2014-05,36
2014-06,0
2014-07,10
2014-08,0
2014-09,8
2014-10,8
2014-11,0
2014-12,0
2015-01,33
2015-02,18
2015-03,9
2015-04,26
2015-05,9
2015-06,10
2015-07,0
2015-08,9
2015-09,9
2015-10,17
2015-11,0
2015-12,23
2016-01,81
2016-02,27
2016-03,43
2016-04,11
2016-05,18
2016-06,24
2016-07,16
2016-08,8
2016-09,8
2016-10,11
2016-11,14
2016-12,7
2017-01,20
2017-02,0
2017-03,0
