Month,SearchVol
2007-04,0
2007-05,0
2007-06,0
2007-07,22
2007-08,21
2007-09,21
2007-10,57
2007-11,0
2007-12,19
2008-01,0
2008-02,36
2008-03,0
2008-04,17
2008-05,17
2008-06,18
2008-07,18
2008-08,18
2008-09,0
2008-10,15
2008-11,17
2008-12,0
2009-01,23
2009-02,25
2009-03,45
2009-04,0
2009-05,0
2009-06,16
2009-07,49
2009-08,33
2009-09,16
2009-10,23
2009-11,46
2009-12,15
2010-01,14
2010-02,30
2010-03,14
2010-04,57
2010-05,15
2010-06,30
2010-07,14
2010-08,13
2010-09,13
2010-10,37
2010-11,37
2010-12,30
2011-01,36
2011-02,38
2011-03,100
2011-04,39
2011-05,44
2011-06,33
2011-07,46
2011-08,45
2011-09,42
2011-10,53
2011-11,44
2011-12,42
2012-01,30
2012-02,30
2012-03,39
2012-04,20
2012-05,26
2012-06,27
2012-07,45
2012-08,31
2012-09,37
2012-10,22
2012-11,60
2012-12,58
2013-01,34
2013-02,33
2013-03,33
2013-04,26
2013-05,55
2013-06,34
2013-07,65
2013-08,41
2013-09,43
2013-10,66
2013-11,50
2013-12,44
2014-01,36
2014-02,49
2014-03,60
2014-04,63
2014-05,44
2014-06,31
2014-07,51
2014-08,37
2014-09,30
2014-10,28
2014-11,58
2014-12,39
2015-01,38
2015-02,21
2015-03,47
2015-04,39
2015-05,26
2015-06,36
2015-07,49
2015-08,60
2015-09,41
2015-10,39
2015-11,59
2015-12,59
2016-01,36
2016-02,25
2016-03,35
2016-04,39
2016-05,33
2016-06,45
2016-07,60
2016-08,38
2016-09,48
2016-10,48
2016-11,48
2016-12,29
2017-01,44
2017-02,33
2017-03,54
