Month,SearchVol
2005-04,100
2005-05,70
2005-06,79
2005-07,52
2005-08,67
2005-09,58
2005-10,60
2005-11,56
2005-12,53
2006-01,74
2006-02,88
2006-03,67
2006-04,73
2006-05,92
2006-06,69
2006-07,65
2006-08,56
2006-09,60
2006-10,73
2006-11,57
2006-12,61
2007-01,49
2007-02,70
2007-03,86
2007-04,65
2007-05,65
2007-06,56
2007-07,36
2007-08,47
2007-09,44
2007-10,49
2007-11,51
2007-12,56
2008-01,55
2008-02,60
2008-03,78
2008-04,72
2008-05,69
2008-06,73
2008-07,44
2008-08,70
2008-09,60
2008-10,52
2008-11,60
2008-12,41
2009-01,70
2009-02,57
2009-03,59
2009-04,59
2009-05,64
2009-06,74
2009-07,65
2009-08,58
2009-09,45
2009-10,51
2009-11,63
2009-12,59
2010-01,76
2010-02,64
2010-03,63
2010-04,64
2010-05,68
2010-06,64
2010-07,40
2010-08,57
2010-09,67
2010-10,60
2010-11,64
2010-12,60
2011-01,66
2011-02,78
2011-03,57
2011-04,70
2011-05,75
2011-06,59
2011-07,53
2011-08,58
2011-09,68
2011-10,59
2011-11,68
2011-12,52
2012-01,77
2012-02,59
2012-03,62
2012-04,55
2012-05,75
2012-06,51
2012-07,43
2012-08,50
2012-09,52
2012-10,58
2012-11,50
2012-12,41
2013-01,50
2013-02,46
2013-03,54
2013-04,63
2013-05,64
2013-06,60
2013-07,47
2013-08,44
2013-09,61
2013-10,54
2013-11,48
2013-12,45
2014-01,56
2014-02,67
2014-03,65
2014-04,64
2014-05,66
2014-06,55
2014-07,47
2014-08,50
2014-09,46
2014-10,46
2014-11,42
2014-12,50
2015-01,56
2015-02,66
2015-03,63
2015-04,58
2015-05,55
2015-06,51
2015-07,40
2015-08,41
2015-09,47
2015-10,49
2015-11,41
2015-12,46
2016-01,50
2016-02,59
2016-03,71
2016-04,54
2016-05,65
2016-06,49
2016-07,38
2016-08,43
2016-09,46
2016-10,51
2016-11,59
2016-12,45
2017-01,99
2017-02,70
2017-03,80
