Month,SearchVol
2005-04,48
2005-05,61
2005-06,43
2005-07,34
2005-08,63
2005-09,60
2005-10,100
2005-11,37
2005-12,35
2006-01,46
2006-02,34
2006-03,36
2006-04,39
2006-05,28
2006-06,15
2006-07,45
2006-08,28
2006-09,28
2006-10,25
2006-11,25
2006-12,0
2007-01,33
2007-02,24
2007-03,27
2007-04,50
2007-05,48
2007-06,15
2007-07,25
2007-08,10
2007-09,40
2007-10,44
2007-11,48
2007-12,27
2008-01,32
2008-02,13
2008-03,20
2008-04,36
2008-05,39
2008-06,25
2008-07,29
2008-08,16
2008-09,24
2008-10,28
2008-11,43
2008-12,26
2009-01,18
2009-02,39
2009-03,28
2009-04,41
2009-05,22
2009-06,41
2009-07,39
2009-08,31
2009-09,27
2009-10,32
2009-11,36
2009-12,39
2010-01,16
2010-02,18
2010-03,52
2010-04,33
2010-05,37
2010-06,21
2010-07,36
2010-08,44
2010-09,46
2010-10,46
2010-11,43
2010-12,50
2011-01,33
2011-02,32
2011-03,25
2011-04,29
2011-05,27
2011-06,20
2011-07,38
2011-08,42
2011-09,30
2011-10,42
2011-11,34
2011-12,24
2012-01,49
2012-02,28
2012-03,40
2012-04,32
2012-05,27
2012-06,37
2012-07,29
2012-08,33
2012-09,29
2012-10,37
2012-11,39
2012-12,32
2013-01,34
2013-02,34
2013-03,45
2013-04,20
2013-05,36
2013-06,27
2013-07,33
2013-08,24
2013-09,33
2013-10,33
2013-11,34
2013-12,34
2014-01,37
2014-02,37
2014-03,29
2014-04,31
2014-05,30
2014-06,39
2014-07,28
2014-08,36
2014-09,24
2014-10,46
2014-11,42
2014-12,29
2015-01,50
2015-02,41
2015-03,47
2015-04,28
2015-05,29
2015-06,45
2015-07,27
2015-08,36
2015-09,41
2015-10,32
2015-11,33
2015-12,33
2016-01,32
2016-02,27
2016-03,34
2016-04,40
2016-05,34
2016-06,36
2016-07,27
2016-08,32
2016-09,38
2016-10,41
2016-11,26
2016-12,33
2017-01,31
2017-02,36
2017-03,30
