Month,SearchVol,,,,
2008-09,0,,,,
2008-10,0,,,,
2008-11,0,,,,
2008-12,0,,,,
2009-01,0,,,,
2009-02,0,,,,
2009-03,0,,,,
2009-04,0,,,,
2009-05,1,,,,
2009-06,1,,,,
2009-07,0,,,,
2009-08,1,,,,
2009-09,1,,,,
2009-10,1,,,,
2009-11,1,,,,
2009-12,1,,,,
2010-01,1,,,,
2010-02,1,,,,
2010-03,1,,,,
2010-04,1,,,,
2010-05,1,,,,
2010-06,1,,,,
2010-07,2,,,,
2010-08,3,,,,
2010-09,2,,,,
2010-10,3,,,,
2010-11,3,,,,
2010-12,3,,,,
2011-01,4,,,,
2011-02,3,,,,
2011-03,5,,,,
2011-04,5,,,,
2011-05,6,,,,
2011-06,6,,,,
2011-07,6,,,,
2011-08,9,,,,
2011-09,7,,,,
2011-10,7,,,,
2011-11,15,,,,
2011-12,13,,,,
2012-01,18,,,,
2012-02,27,,,,
2012-03,100,,,,
2012-04,47,,,,
2012-05,21,,,,
2012-06,17,,,,
2012-07,14,,,,
2012-08,30,,,,
2012-09,16,,,,
2012-10,10,,,,
2012-11,9,,,,
2012-12,8,,,,
2013-01,10,,,,
2013-02,8,,,,
2013-03,8,,,,
2013-04,12,,,,
2013-05,8,,,,
2013-06,7,,,,
2013-07,7,,,,
2013-08,7,,,,
2013-09,6,,,,
2013-10,8,,,,
2013-11,30,,,,
2013-12,20,,,,
2014-01,12,,,,
2014-02,11,,,,
2014-03,17,,,,
2014-04,7,,,,
2014-05,7,,,,
2014-06,7,,,,
2014-07,6,,,,
2014-08,5,,,,
2014-09,6,,,,
2014-10,9,,,,
2014-11,26,,,,
2014-12,13,,,,
2015-01,8,,,,
2015-02,8,,,,
2015-03,10,,,,
2015-04,6,,,,
2015-05,4,,,,
2015-06,6,,,,
2015-07,6,,,,
2015-08,4,,,,
2015-09,4,,,,
2015-10,5,,,,
2015-11,19,,,,
2015-12,11,,,,
2016-01,7,,,,
2016-02,5,,,,
2016-03,7,,,,
2016-04,5,,,,
2016-05,5,,,,
2016-06,4,,,,
2016-07,4,,,,
2016-08,3,,,,
2016-09,3,,,,
2016-10,3,,,,
2016-11,3,,,,
2016-12,4,,,,
2017-01,3,,,,
2017-02,3,,,,
2017-03,3,,,,
