Month,SearchVol
2005-04,28
2005-05,26
2005-06,13
2005-07,65
2005-08,35
2005-09,33
2005-10,34
2005-11,53
2005-12,46
2006-01,16
2006-02,24
2006-03,25
2006-04,22
2006-05,23
2006-06,21
2006-07,23
2006-08,22
2006-09,17
2006-10,15
2006-11,26
2006-12,24
2007-01,9
2007-02,20
2007-03,18
2007-04,24
2007-05,29
2007-06,24
2007-07,100
2007-08,51
2007-09,25
2007-10,25
2007-11,23
2007-12,24
2008-01,16
2008-02,11
2008-03,10
2008-04,13
2008-05,14
2008-06,14
2008-07,19
2008-08,13
2008-09,13
2008-10,14
2008-11,13
2008-12,9
2009-01,10
2009-02,6
2009-03,13
2009-04,12
2009-05,11
2009-06,12
2009-07,55
2009-08,22
2009-09,19
2009-10,10
2009-11,16
2009-12,24
2010-01,13
2010-02,14
2010-03,11
2010-04,11
2010-05,16
2010-06,12
2010-07,28
2010-08,20
2010-09,9
2010-10,20
2010-11,53
2010-12,31
2011-01,22
2011-02,21
2011-03,14
2011-04,19
2011-05,15
2011-06,17
2011-07,53
2011-08,32
2011-09,18
2011-10,15
2011-11,28
2011-12,22
2012-01,20
2012-02,19
2012-03,17
2012-04,18
2012-05,16
2012-06,15
2012-07,17
2012-08,15
2012-09,11
2012-10,14
2012-11,11
2012-12,17
2013-01,15
2013-02,14
2013-03,18
2013-04,14
2013-05,16
2013-06,14
2013-07,17
2013-08,15
2013-09,15
2013-10,16
2013-11,13
2013-12,17
2014-01,17
2014-02,16
2014-03,15
2014-04,14
2014-05,15
2014-06,16
2014-07,23
2014-08,15
2014-09,14
2014-10,19
2014-11,16
2014-12,24
2015-01,18
2015-02,21
2015-03,20
2015-04,15
2015-05,15
2015-06,23
2015-07,23
2015-08,18
2015-09,18
2015-10,27
2015-11,23
2015-12,25
2016-01,26
2016-02,29
2016-03,24
2016-04,23
2016-05,28
2016-06,38
2016-07,67
2016-08,85
2016-09,31
2016-10,32
2016-11,34
2016-12,28
2017-01,28
2017-02,27
2017-03,21
