Month,SearchVol
2005-04,13
2005-05,18
2005-06,18
2005-07,53
2005-08,24
2005-09,17
2005-10,20
2005-11,38
2005-12,20
2006-01,12
2006-02,10
2006-03,14
2006-04,10
2006-05,8
2006-06,10
2006-07,11
2006-08,11
2006-09,9
2006-10,10
2006-11,14
2006-12,16
2007-01,12
2007-02,16
2007-03,12
2007-04,13
2007-05,14
2007-06,22
2007-07,100
2007-08,22
2007-09,11
2007-10,10
2007-11,9
2007-12,11
2008-01,8
2008-02,7
2008-03,6
2008-04,7
2008-05,7
2008-06,7
2008-07,11
2008-08,10
2008-09,6
2008-10,7
2008-11,9
2008-12,8
2009-01,6
2009-02,5
2009-03,8
2009-04,8
2009-05,9
2009-06,10
2009-07,32
2009-08,11
2009-09,8
2009-10,8
2009-11,8
2009-12,13
2010-01,8
2010-02,8
2010-03,9
2010-04,7
2010-05,8
2010-06,13
2010-07,15
2010-08,10
2010-09,12
2010-10,17
2010-11,41
2010-12,22
2011-01,15
2011-02,13
2011-03,11
2011-04,15
2011-05,12
2011-06,15
2011-07,46
2011-08,16
2011-09,11
2011-10,12
2011-11,16
2011-12,12
2012-01,10
2012-02,8
2012-03,8
2012-04,7
2012-05,7
2012-06,7
2012-07,8
2012-08,7
2012-09,6
2012-10,6
2012-11,6
2012-12,7
2013-01,7
2013-02,6
2013-03,7
2013-04,6
2013-05,6
2013-06,7
2013-07,8
2013-08,7
2013-09,9
2013-10,7
2013-11,8
2013-12,8
2014-01,7
2014-02,6
2014-03,7
2014-04,6
2014-05,7
2014-06,7
2014-07,10
2014-08,8
2014-09,6
2014-10,8
2014-11,7
2014-12,9
2015-01,7
2015-02,8
2015-03,6
2015-04,7
2015-05,7
2015-06,8
2015-07,9
2015-08,8
2015-09,8
2015-10,10
2015-11,9
2015-12,12
2016-01,11
2016-02,11
2016-03,10
2016-04,11
2016-05,10
2016-06,11
2016-07,13
2016-08,16
2016-09,11
2016-10,14
2016-11,14
2016-12,14
2017-01,12
2017-02,11
2017-03,10
